,OperatorName,OfficeLineId,OperatorLineId,ClusterName,FromDate,ToDate,ClusterId,LineType,LineTypeDesc,ClusterSubDesc
2327,קווים,10889,89,חשמונאים,27/12/2015,01/01/2200,150,1,עירוני,מודיעין
2596,קווים,25033,33,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2606,קווים,26032,32,חשמונאים,13/08/2013,01/01/2200,150,1,עירוני,מודיעין
2611,קווים,27088,88,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2628,קווים,30059,59,חשמונאים,17/09/2017,01/01/2200,150,1,עירוני,מודיעין
2631,קווים,31090,90,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2632,קווים,31092,92,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2637,קווים,32051,51,חשמונאים,17/09/2017,01/01/2200,150,1,עירוני,מודיעין
2638,קווים,32058,58,חשמונאים,28/08/2017,01/01/2200,150,1,עירוני,מודיעין
2640,קווים,32095,95,חשמונאים,07/09/2017,01/01/2200,150,1,עירוני,מודיעין
2646,קווים,34053,53,חשמונאים,01/09/2017,01/01/2200,150,1,עירוני,מודיעין
2647,קווים,34086,86,חשמונאים,02/08/2013,01/01/2200,150,1,עירוני,מודיעין
2648,קווים,34091,91,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2653,קווים,36056,56,חשמונאים,17/09/2017,01/01/2200,150,1,עירוני,מודיעין
2663,קווים,37050,50,חשמונאים,17/09/2017,01/01/2200,150,1,עירוני,מודיעין
2664,קווים,37084,84,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2669,קווים,38093,93,חשמונאים,03/08/2016,01/01/2200,150,1,עירוני,מודיעין
2673,קווים,40087,87,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2676,קווים,41054,54,חשמונאים,17/09/2017,01/01/2200,150,1,עירוני,מודיעין
2679,קווים,41083,83,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2680,קווים,41094,94,חשמונאים,20/12/2022,01/01/2200,150,1,עירוני,מודיעין
2688,קווים,43081,81,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2694,קווים,44082,82,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
2701,קווים,46055,55,חשמונאים,18/09/2017,01/01/2200,150,1,עירוני,מודיעין
2702,קווים,46080,80,חשמונאים,01/08/2013,01/01/2200,150,1,עירוני,מודיעין
